###### [1/10] of a280[1/48]
2023-06-14 14:34:35 -*- 2673
2023-06-14 14:38:03 --> opt-stimulated_annealing: 2673
###### [1/10] of a280[1/48]
2023-06-14 14:38:03 --> opt: 2579
2023-06-14 14:38:03 -*- 2941
2023-06-14 14:38:03 --> org-christofides: 2941
2023-06-14 14:38:04 -*- 2932
2023-06-14 14:38:04 -*- 2922
2023-06-14 14:38:04 -*- 2913
2023-06-14 14:38:04 -*- 2908
2023-06-14 14:38:05 -*- 2896
2023-06-14 14:38:06 -*- 2890
2023-06-14 14:38:07 -*- 2889
2023-06-14 14:38:07 -*- 2884
2023-06-14 14:38:07 -*- 2879
2023-06-14 14:38:13 -*- 2868
2023-06-14 14:38:14 -*- 2864
2023-06-14 14:38:15 -*- 2863
2023-06-14 14:38:15 -*- 2849
2023-06-14 14:38:16 -*- 2839
2023-06-14 14:38:18 -*- 2833
2023-06-14 14:38:18 -*- 2823
2023-06-14 14:38:18 -*- 2820
2023-06-14 14:38:20 -*- 2814
2023-06-14 14:38:23 -*- 2809
2023-06-14 14:38:23 -*- 2808
2023-06-14 14:38:24 -*- 2798
2023-06-14 14:38:25 -*- 2793
2023-06-14 14:38:26 -*- 2784
2023-06-14 14:38:30 -*- 2775
2023-06-14 14:38:37 -*- 2769
2023-06-14 14:38:48 -*- 2759
2023-06-14 14:38:50 -*- 2753
2023-06-14 14:38:53 -*- 2750
2023-06-14 14:38:53 -*- 2744
2023-06-14 14:38:58 -*- 2739
2023-06-14 14:39:04 -*- 2729
2023-06-14 14:39:10 -*- 2719
2023-06-14 14:39:16 -*- 2709
2023-06-14 14:39:21 -*- 2705
2023-06-14 14:39:29 -*- 2698
2023-06-14 14:39:44 -*- 2697
2023-06-14 14:39:46 -*- 2693
2023-06-14 14:39:59 -*- 2692
2023-06-14 14:40:15 -*- 2689
2023-06-14 14:40:22 -*- 2686
2023-06-14 14:40:24 -*- 2682
2023-06-14 14:40:25 -*- 2681
2023-06-14 14:40:32 -*- 2675
2023-06-14 14:41:11 -*- 2666
2023-06-14 14:44:40 -*- 2660
2023-06-14 14:44:56 -*- 2657
2023-06-14 14:48:04 --> opt-stimulated_annealing: 2657
###### [1/10] of a280[1/48]
2023-06-14 14:48:04 --> opt: 2579
2023-06-14 14:48:04 -*- 2941
2023-06-14 14:48:04 --> org-christofides: 2941
2023-06-14 14:48:04 -*- 2927
2023-06-14 14:48:04 -*- 2917
2023-06-14 14:48:05 -*- 2916
2023-06-14 14:48:06 -*- 2897
2023-06-14 14:48:06 -*- 2891
2023-06-14 14:48:06 -*- 2886
2023-06-14 14:48:07 -*- 2881
2023-06-14 14:48:07 -*- 2877
2023-06-14 14:48:07 -*- 2875
2023-06-14 14:48:08 -*- 2871
2023-06-14 14:48:09 -*- 2866
2023-06-14 14:48:10 -*- 2861
2023-06-14 14:48:11 -*- 2854
2023-06-14 14:48:12 -*- 2848
2023-06-14 14:48:14 -*- 2847
2023-06-14 14:48:16 -*- 2845
2023-06-14 14:48:16 -*- 2842
2023-06-14 14:48:20 -*- 2839
2023-06-14 14:48:21 -*- 2829
2023-06-14 14:48:23 -*- 2828
2023-06-14 14:48:24 -*- 2822
2023-06-14 14:48:25 -*- 2818
2023-06-14 14:48:25 -*- 2812
2023-06-14 14:48:31 -*- 2810
2023-06-14 14:48:31 -*- 2806
2023-06-14 14:48:38 -*- 2798
2023-06-14 14:48:38 -*- 2794
2023-06-14 14:48:40 -*- 2786
2023-06-14 14:48:41 -*- 2781
2023-06-14 14:48:45 -*- 2772
2023-06-14 14:48:52 -*- 2768
2023-06-14 14:48:52 -*- 2758
2023-06-14 14:48:53 -*- 2754
2023-06-14 14:49:09 -*- 2748
2023-06-14 14:49:13 -*- 2747
2023-06-14 14:49:14 -*- 2744
2023-06-14 14:49:15 -*- 2734
2023-06-14 14:49:16 -*- 2733
2023-06-14 14:49:22 -*- 2724
2023-06-14 14:49:22 -*- 2719
2023-06-14 14:49:26 -*- 2716
2023-06-14 14:49:30 -*- 2709
2023-06-14 14:49:40 -*- 2703
2023-06-14 14:49:45 -*- 2697
2023-06-14 14:49:59 -*- 2693
2023-06-14 14:50:08 -*- 2683
2023-06-14 14:50:11 -*- 2674
2023-06-14 14:50:55 -*- 2666
2023-06-14 14:52:53 -*- 2663
2023-06-14 14:58:04 --> opt-stimulated_annealing: 2663
###### [1/10] of a280[1/48]
2023-06-14 14:58:04 --> opt: 2579
